"order_id";"account_src";"date";"bank";"account_dst";"amount";"k_symbol"
"1";1;2;931105;"QR";13943797;7266;"household"
"2";2;2;930905;"QR";13943797;7266;"household"
"3";3;2;931205;"QR";13943797;7266;"household"
"4";4;2;930805;"QR";13943797;7266;"household"
"5";5;2;931005;"QR";13943797;7266;"household"
"6";6;67;950313;"UV";59079301;445;" "
"7";7;67;951213;"UV";59079301;445;" "
"8";8;67;960213;"UV";59079301;445;" "
"9";9;67;950713;"UV";59079301;445;" "
"10";10;67;960412;"YZ";57342255;6393;"household"
"11";11;67;950913;"UV";59079301;445;" "
"12";12;67;950813;"UV";59079301;445;" "
"13";13;67;960112;"YZ";57342255;6393;"household"
"14";14;67;951112;"YZ";57342255;6393;"household"
"15";15;67;950513;"UV";59079301;445;" "
"16";16;67;950612;"YZ";57342255;6393;"household"
"17";17;67;951212;"YZ";57342255;6393;"household"
"18";18;67;960212;"YZ";57342255;6393;"household"
"19";19;67;951113;"UV";59079301;445;" "
"20";20;67;950412;"YZ";57342255;6393;"household"
"21";21;67;950512;"YZ";57342255;6393;"household"
"22";22;67;960313;"UV";59079301;445;" "
"23";23;67;951012;"YZ";57342255;6393;"household"
"24";24;67;960113;"UV";59079301;445;" "
"25";25;67;960413;"UV";59079301;445;" "
"26";26;67;950812;"YZ";57342255;6393;"household"
"27";27;67;950312;"YZ";57342255;6393;"household"
"28";28;67;950413;"UV";59079301;445;" "
"29";29;67;960312;"YZ";57342255;6393;"household"
"30";30;67;950912;"YZ";57342255;6393;"household"
"31";31;67;950712;"YZ";57342255;6393;"household"
"32";32;67;951013;"UV";59079301;445;" "
"33";33;67;950613;"UV";59079301;445;" "
"34";34;173;940514;"KL";26238835;1428;" "
"35";35;173;940414;"KL";26238835;1428;" "
"36";36;173;940413;"CD";50065535;189;" "
"37";37;173;940513;"CD";50065535;189;" "
"38";38;173;940512;"CD";85405385;735;"insurrance payment"
"39";39;173;940411;"KL";95605074;6256;"household"
"40";40;173;940412;"CD";85405385;735;"insurrance payment"
"41";41;173;940511;"KL";95605074;6256;"household"
"42";42;290;940810;"IJ";5267882;3274;" "
"43";43;290;940710;"IJ";5267882;3274;" "
"44";44;290;940710;"UV";10382223;2653;"household"
"45";45;290;940510;"UV";10382223;2653;"household"
"46";46;290;940610;"IJ";5267882;3274;" "
"47";47;290;940810;"UV";10382223;2653;"household"
"48";48;290;941010;"UV";10382223;2653;"household"
"49";49;290;940910;"IJ";5267882;3274;" "
"50";50;290;941010;"IJ";5267882;3274;" "
"51";51;290;940610;"UV";10382223;2653;"household"
"52";52;290;940910;"UV";10382223;2653;"household"
"53";53;290;940510;"IJ";5267882;3274;" "
"54";54;344;940610;"WX";47483712;4739;"household"
"55";55;344;940710;"WX";47483712;4739;"household"
"56";56;344;941010;"WX";47483712;4739;"household"
"57";57;344;941210;"WX";47483712;4739;"household"
"58";58;344;941110;"WX";47483712;4739;"household"
"59";59;344;940910;"WX";47483712;4739;"household"
"60";60;344;940410;"WX";47483712;4739;"household"
"61";61;344;940810;"WX";47483712;4739;"household"
"62";62;344;940510;"WX";47483712;4739;"household"
"63";63;426;940713;"AB";9528249;7497;"household"
"64";64;426;940409;"GH";34606760;886;" "
"65";65;426;940709;"GH";34606760;886;" "
"66";66;426;940313;"AB";9528249;7497;"household"
"67";67;426;940509;"GH";34606760;886;" "
"68";68;426;940609;"GH";34606760;886;" "
"69";69;426;940613;"AB";9528249;7497;"household"
"70";70;426;940309;"GH";34606760;886;" "
"71";71;426;940513;"AB";9528249;7497;"household"
"72";72;426;940413;"AB";9528249;7497;"household"
"73";73;789;950805;"OP";84300315;1641;" "
"74";74;789;950911;"OP";64140730;2153;"household"
"75";75;789;950905;"OP";84300315;1641;" "
"76";76;789;950811;"OP";64140730;2153;"household"
"77";77;789;951105;"OP";84300315;1641;" "
"78";78;789;951011;"OP";64140730;2153;"household"
"79";79;789;951111;"OP";64140730;2153;"household"
"80";80;789;950705;"OP";84300315;1641;" "
"81";81;789;950711;"OP";64140730;2153;"household"
"82";82;789;951005;"OP";84300315;1641;" "
"83";83;816;940507;"QR";67616367;4514;"household"
"84";84;816;941007;"QR";67616367;4514;"household"
"85";85;816;940207;"QR";67616367;4514;"household"
"86";86;816;941107;"QR";67616367;4514;"household"
"87";87;816;940807;"QR";67616367;4514;"household"
"88";88;816;941207;"QR";67616367;4514;"household"
"89";89;816;940407;"QR";67616367;4514;"household"
"90";90;816;940707;"QR";67616367;4514;"household"
"91";91;816;940307;"QR";67616367;4514;"household"
"92";92;816;940607;"QR";67616367;4514;"household"
"93";93;816;950107;"QR";67616367;4514;"household"
"94";94;816;940907;"QR";67616367;4514;"household"
"95";95;817;940814;"GH";53805935;4605;"household"
"96";96;817;940914;"GH";53805935;4605;"household"
"97";97;817;941214;"GH";53805935;4605;"household"
"98";98;817;950114;"GH";53805935;4605;"household"
"99";99;817;941014;"GH";53805935;4605;"household"
"100";100;817;941114;"GH";53805935;4605;"household"
"101";101;817;950214;"GH";53805935;4605;"household"
"102";102;854;940414;"IJ";6306148;2843;"insurrance payment"
"103";103;854;950305;"KL";41849011;1105;" "
"104";104;854;940714;"IJ";6306148;2843;"insurrance payment"
"105";105;854;950510;"AB";21777671;382;"household"
"106";106;854;950405;"KL";41849011;1105;" "
"107";107;854;940610;"AB";21777671;382;"household"
"108";108;854;950210;"AB";21777671;382;"household"
"109";109;854;950214;"IJ";6306148;2843;"insurrance payment"
"110";110;854;940314;"IJ";6306148;2843;"insurrance payment"
"111";111;854;941105;"KL";41849011;1105;" "
"112";112;854;941214;"IJ";6306148;2843;"insurrance payment"
"113";113;854;941005;"KL";41849011;1105;" "
"114";114;854;950414;"IJ";6306148;2843;"insurrance payment"
"115";115;854;941014;"IJ";6306148;2843;"insurrance payment"
"116";116;854;950514;"IJ";6306148;2843;"insurrance payment"
"117";117;854;940914;"IJ";6306148;2843;"insurrance payment"
"118";118;854;940814;"IJ";6306148;2843;"insurrance payment"
"119";119;854;940705;"KL";41849011;1105;" "
"120";120;854;940614;"IJ";6306148;2843;"insurrance payment"
"121";121;854;941110;"AB";21777671;382;"household"
"122";122;854;940214;"IJ";6306148;2843;"insurrance payment"
"123";123;854;940605;"KL";41849011;1105;" "
"124";124;854;940810;"AB";21777671;382;"household"
"125";125;854;940710;"AB";21777671;382;"household"
"126";126;854;940505;"KL";41849011;1105;" "
"127";127;854;941010;"AB";21777671;382;"household"
"128";128;854;940905;"KL";41849011;1105;" "
"129";129;854;950410;"AB";21777671;382;"household"
"130";130;854;950205;"KL";41849011;1105;" "
"131";131;854;941210;"AB";21777671;382;"household"
"132";132;854;940210;"AB";21777671;382;"household"
"133";133;854;940410;"AB";21777671;382;"household"
"134";134;854;941205;"KL";41849011;1105;" "
"135";135;854;940405;"KL";41849011;1105;" "
"136";136;854;950110;"AB";21777671;382;"household"
"137";137;854;940310;"AB";21777671;382;"household"
"138";138;854;950114;"IJ";6306148;2843;"insurrance payment"
"139";139;854;950105;"KL";41849011;1105;" "
"140";140;854;940910;"AB";21777671;382;"household"
"141";141;854;941114;"IJ";6306148;2843;"insurrance payment"
"142";142;854;950314;"IJ";6306148;2843;"insurrance payment"
"143";143;854;940305;"KL";41849011;1105;" "
"144";144;854;950310;"AB";21777671;382;"household"
"145";145;854;950505;"KL";41849011;1105;" "
"146";146;854;940805;"KL";41849011;1105;" "
"147";147;854;940510;"AB";21777671;382;"household"
"148";148;854;940514;"IJ";6306148;2843;"insurrance payment"
"149";149;915;950710;"EF";73569780;14291;"household"
"150";150;915;950610;"EF";73569780;14291;"household"
"151";151;915;950810;"EF";73569780;14291;"household"
"152";152;915;950910;"EF";73569780;14291;"household"
"153";153;960;950413;"CD";19250178;5940;"household"
"154";154;960;950313;"CD";19250178;5940;"household"
"155";155;960;950513;"CD";19250178;5940;"household"
"156";156;1011;950712;"WX";17116374;7085;"household"
"157";157;1011;950912;"WX";17116374;7085;"household"
"158";158;1011;950612;"WX";17116374;7085;"household"
"159";159;1011;950512;"WX";17116374;7085;"household"
"160";160;1011;951212;"WX";17116374;7085;"household"
"161";161;1011;951112;"WX";17116374;7085;"household"
"162";162;1011;951012;"WX";17116374;7085;"household"
"163";163;1011;950812;"WX";17116374;7085;"household"
